rand_point_id,id,xcoord,ycoord
0,900,332.623502790475,-944.608341323421
1,900,337.664478010446,-800.563261765081
2,900,351.618750111766,-962.646312623541
3,900,413.579587765957,-932.93582477799
4,900,366.974105451238,-974.681591132857
5,900,360.95178326982,-969.96139266634
6,900,313.60076426556,-917.768478724299
7,900,344.854280492678,-805.478937261183
8,900,411.141762460134,-961.306704264055
9,900,317.454041956184,-790.211575005581
10,900,413.579587765957,-946.72690729631
11,900,282.230568917778,-813.209241447162
12,900,408.896708693482,-971.783621841765
13,900,287.957548773222,-859.151971758786
14,900,413.579587765957,-938.332909823542
15,900,282.787991356608,-833.833871683847
16,900,412.392646499328,-916.403817268926
17,900,296.989914434381,-883.56196085162
18,900,382.621661560959,-845.993652942807
19,900,378.023938337896,-980.943093246149
20,900,307.513143226299,-907.113949100198
21,900,327.120508890378,-795.162692215778
22,900,402.814123726906,-888.388824858767
23,900,300.553956946289,-891.538627425889
24,900,394.353306999341,-869.775028058126
25,900,357.981144555787,-816.364629411079
26,900,304.06868068572,-785.837938310156
27,900,356.337122101257,-966.344496074764
28,900,365.562072971087,-822.651252974986
29,900,336.049562790347,-949.124511323252
30,900,399.06175134338,-982.847221106115
31,900,310.783207985896,-786.794806386653
32,900,413.579587765957,-924.300896066636
33,900,410.624033965617,-910.213673400937
34,900,283.867053616612,-804.647909022832
35,900,412.793495792499,-953.598615379684
36,900,283.260959330781,-843.781315401706
37,900,406.845947729395,-897.258837664243
38,900,388.990630083408,-983.762777584294
39,900,285.503037031835,-851.119024241517
40,900,289.655132225546,-864.707699420938
41,900,316.762443967414,-922.736832541498
42,900,320.843866032715,-929.080638324556
43,900,393.978967785271,-983.30929233867
44,900,346.36472246078,-958.528290951147
45,900,287.7983278797,-789.709066823098
46,900,328.332841884551,-938.952470129249
47,900,372.796345145517,-828.650405509879
48,900,378.033073442143,-837.045906111116
49,900,399.244121680422,-880.534820356503
50,900,296.862654414216,-787.339193783386
51,900,282.36569401161,-818.208869918923
52,900,304.587412104837,-900.565884209307
