id,xcoord,ycoord
900,282.221143617021,-812.860505319149
900,282.356229423761,-817.858680168514
900,282.4913152305,-822.856855017878
900,282.62640103724,-827.855029867242
900,282.761486843979,-832.853204716606
900,282.896572650719,-837.851379565971
900,283.031658457459,-842.849554415335
900,284.439978988126,-847.639925189382
900,285.901071666121,-852.421683044638
900,287.362164344117,-857.203440899895
900,288.823257022112,-861.985198755152
900,290.284349700107,-866.766956610408
900,291.745442378102,-871.548714465665
900,293.679648446101,-876.15327030642
900,295.719348757051,-880.7183138595
900,297.759049068001,-885.283357412579
900,299.798749378951,-889.848400965658
900,301.838449689902,-894.413444518737
900,303.878150000852,-898.978488071816
900,305.917850311802,-903.543531624895
900,307.957550622752,-908.108575177974
900,310.266444998084,-912.528834161124
900,312.95082245905,-916.747141599785
900,315.635199920016,-920.965449038445
900,318.319577380982,-925.183756477106
900,321.058772925829,-929.36392468366
900,324.0807053327,-933.347381038172
900,327.102637739571,-937.330837392684
900,330.124570146442,-941.314293747196
900,333.146502553313,-945.297750101708
900,336.168434960184,-949.28120645622
900,339.393698253336,-953.064515220988
900,343.328977829093,-956.148923537121
900,347.264257404849,-959.233331853255
900,351.199536980606,-962.317740169388
900,355.134816556362,-965.402148485522
900,359.070096132119,-968.486556801655
900,363.005375707875,-971.570965117789
900,366.940655283632,-974.655373433922
900,371.145795526512,-977.323018082263
900,375.570386638422,-979.651750246426
900,379.994977750332,-981.98048241059
900,384.446162125084,-984.175911035051
900,389.425628157422,-983.723232304838
900,394.405094189761,-983.270553574625
900,399.384560222099,-982.817874844413
900,403.386336985174,-980.721990532877
900,406.1598379663,-976.561739061188
900,408.778334383776,-972.336035287058
900,409.825979827431,-967.447023216671
900,410.873625271085,-962.558011146284
900,411.921270714739,-957.668999075897
900,412.968916158394,-952.77998700551
900,413.579587765957,-947.844681772053
900,413.579587765957,-942.844681772053
900,413.579587765957,-937.844681772053
900,413.579587765957,-932.844681772053
900,413.579587765957,-927.844681772053
900,413.579587765957,-922.844681772053
900,412.834151235097,-917.949083844115
900,411.46054559561,-913.141464105911
900,410.086939956123,-908.333844367707
900,408.713334316636,-903.526224629503
900,407.339728677149,-898.718604891299
