id,formation,Z,X,Y
1,Selm_Folge,600,347.799,-271.304
2,Selm_Folge,600,559.484,-252.059
3,Selm_Folge,600,771.169,-234.648
4,Selm_Folge,600,1004.847,-214.488
5,Selm_Folge,600,1254.104,-194.327
6,Selm_Folge,700,1359.488,-323.538
7,Selm_Folge,700,1121.228,-345.531
8,Selm_Folge,700,888.466,-363.858
9,Selm_Folge,700,663.035,-380.353
10,Selm_Folge,700,454.099,-396.848
11,Selm_Folge,700,272.655,-415.176
12,Dünensandstein,500,347.799,-470.159
13,Dünensandstein,500,565.898,-446.333
14,Dünensandstein,500,778.5,-426.173
15,Dünensandstein,500,1016.76,-406.012
16,Dünensandstein,500,1240.358,-385.852
17,Dünensandstein,600,271.739,-604.868
18,Dünensandstein,600,455.016,-588.373
19,Dünensandstein,600,696.025,-568.212
20,Dünensandstein,600,901.295,-549.885
21,Dünensandstein,600,1139.556,-531.557
22,Dünensandstein,600,1320.084,-514.54
23,Wackenbach_Folge,500,1239.394,-561.04
24,Wackenbach_Folge,500,1032.88,-578.82
25,Wackenbach_Folge,500,800.381,-599.334
26,Wackenbach_Folge,500,550.102,-619.849
27,Wackenbach_Folge,500,354.529,-637.628
28,Wackenbach_Folge,600,273.839,-777.128
29,Wackenbach_Folge,600,517.279,-757.981
30,Wackenbach_Folge,600,711.484,-738.834
31,Wackenbach_Folge,600,919.365,-722.422
32,Wackenbach_Folge,600,1149.129,-703.275
33,Wackenbach_Folge,600,1354.275,-686.863
34,Enztal_Sandstein,300,406.5,-952.186
35,Enztal_Sandstein,300,652.675,-931.671
36,Enztal_Sandstein,300,870.13,-913.892
37,Enztal_Sandstein,300,1057.497,-898.848
38,Enztal_Sandstein,300,1262.643,-882.436
39,Enztal_Sandstein,400,1328.29,-1008.259
40,Enztal_Sandstein,400,1158.703,-1020.568
41,Enztal_Sandstein,400,968.6,-1035.612
42,Enztal_Sandstein,400,770.292,-1052.024
43,Enztal_Sandstein,400,597.97,-1064.332
44,Wengen_Folge,-100,968.6,-1035.612
45,Wengen_Folge,-100,770.292,-1052.024
46,Wengen_Folge,-100,597.97,-1064.332
